# Simulation 1 (Up to date)
# 523 data points written for 54 variables.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
2.717,246.287,115.282,-13.978,115.832,13.985,19.387,0.001,19.387,0.004,11.266,0.446,28.61,-80.6,9.791,0.1,-7.434e-5,-10.462,-0.071,3814.827,245.056,0.395,0.005,77.862,57.193,2.247,0.343,8.605e6,0,16.039,0.298,0.298,0.216,0.008,0.074,0.01,0.023,-1.892e-4,0,0,0,0,-5.88e-4,0.015,9.2,66.476,82.164,0.01,4.361,13.399,984.365,339.419,0.046,0.023
2.767,252.033,114.582,-14.02,115.134,14.021,19.95,0.001,19.95,0.004,11.262,0.187,28.61,-80.6,9.791,0.564,-5.011e-5,-7.653,-0.006,3814.827,245.056,0.395,0.005,77.393,57.193,2.196,0.341,8.549e6,0,15.845,0.298,0.298,0.216,0.008,0.074,0.058,0.128,2.582e-4,0,0,0,0,-3.185e-4,0.015,9.2,66.476,81.69,0.004,4.286,13.362,983.691,339.396,0.05,0.023
2.81,256.905,113.984,-14.014,114.541,14.021,20.431,0.001,20.431,0.004,11.277,0.416,28.61,-80.6,9.791,0.736,-1.848e-5,-3.052,0.003,3814.827,245.056,0.395,0.005,77.222,57.193,2.177,0.339,8.502e6,0,15.682,0.298,0.298,0.216,0.008,0.074,0.076,0.166,-7.718e-5,0,0,0,0,-5.119e-5,0.015,9.2,66.476,81.458,5.72e-4,4.332,13.33,983.119,339.377,0.043,0.024
2.844,260.765,113.51,-13.957,114.07,13.96,20.813,0.001,20.813,0.004,11.289,0.272,28.61,-80.6,9.791,0.64,-2.15e-5,0.696,0.006,3814.827,245.056,0.395,0.005,77.313,57.193,2.187,0.338,8.467e6,0,15.547,0.298,0.298,0.216,0.008,0.074,0.066,0.145,-2.072e-5,0,0,0,0,2.681e-6,0.015,9.2,66.476,81.422,-1.592e-4,4.539,13.305,982.667,339.362,0.034,0.024
2.884,265.274,112.955,-13.873,113.519,13.873,21.263,0.001,21.263,0.004,11.295,0.009,28.61,-80.6,9.791,0.45,4.459e-6,4.082,0.008,3814.827,245.056,0.395,0.005,77.497,57.193,2.207,0.336,8.425e6,0,15.38,0.298,0.298,0.216,0.007,0.074,0.046,0.102,2.822e-4,0,0,0,0,9.31e-5,0.015,9.2,66.476,81.524,7.123e-4,4.635,13.276,982.138,339.344,0.04,0.024
2.934,270.905,112.265,-13.753,112.831,13.759,21.828,0.002,21.828,0.004,11.285,0.425,28.61,-80.6,9.791,0.118,-2.727e-5,6.231,-0.003,3814.827,245.056,0.395,0.005,77.828,57.193,2.243,0.334,8.371e6,0,15.175,0.297,0.297,0.216,0.007,0.073,0.012,0.026,2.166e-4,0,0,0,0,2.196e-4,0.014,9.2,66.476,81.799,0.003,4.675,13.239,981.477,339.322,0.05,0.024
2.984,276.501,111.58,-13.63,112.146,13.662,22.391,0.002,22.391,0.004,11.25,0.947,28.61,-80.6,9.791,0.295,-6.208e-5,-5.632,0.012,3814.827,245.056,0.395,0.005,77.645,57.193,2.223,0.332,8.318e6,0,14.987,0.297,0.297,0.216,0.007,0.073,0.03,0.067,-3.357e-4,0,0,0,0,-1.815e-4,0.014,9.2,66.476,82.113,0.007,4.818,13.203,980.821,339.3,0.05,0.024
3.034,282.063,110.901,-13.547,111.465,13.6,22.952,0.002,22.952,0.004,11.193,1.2,28.61,-80.6,9.791,0.502,1.559e-6,-2.252,-0.012,3814.827,245.056,0.395,0.005,77.434,57.193,2.2,0.33,8.264e6,0,14.799,0.297,0.297,0.217,0.007,0.073,0.052,0.113,-3.642e-4,0,0,0,0,-2.938e-5,0.014,9.2,66.476,82.318,0.008,4.782,13.167,980.169,339.278,0.05,0.024
3.084,287.591,110.225,-13.497,110.786,13.549,23.511,0.002,23.511,0.004,11.132,1.192,28.61,-80.6,9.791,0.509,-3.224e-6,1.47,-0.007,3814.827,245.056,0.395,0.005,77.424,57.193,2.199,0.328,8.21e6,0,14.604,0.297,0.297,0.217,0.007,0.073,0.052,0.115,3.698e-4,0,0,0,0,1.267e-5,0.014,9.2,66.476,82.335,0.009,4.71,13.131,979.52,339.256,0.05,0.024
3.134,293.085,109.551,-13.456,110.11,13.502,24.066,0.002,24.066,0.004,11.075,1.12,28.61,-80.6,9.791,0.457,-5.609e-6,4.955,-0.018,3814.827,245.056,0.395,0.005,77.472,57.193,2.204,0.326,8.158e6,0,14.419,0.297,0.297,0.217,0.007,0.073,0.047,0.103,-4.911e-5,0,0,0,0,1.456e-4,0.014,9.2,66.476,82.164,0.011,4.896,13.095,978.876,339.234,0.05,0.025
3.184,298.546,108.879,-13.465,109.436,13.481,24.618,0.002,24.618,0.005,11.028,0.664,28.61,-80.6,9.791,0.097,4.943e-5,7.472,-0.068,3814.827,245.056,0.395,0.005,77.832,57.193,2.243,0.324,8.104e6,0,14.218,0.297,0.297,0.217,0.007,0.073,0.01,0.022,-2.551e-4,0,0,0,0,3.355e-4,0.014,9.2,66.476,81.838,0.011,4.769,13.059,978.236,339.213,0.05,0.033
3.234,303.973,108.205,-13.495,108.763,13.495,25.169,0.002,25.169,0.005,11.009,0.12,28.61,-80.6,9.791,0.351,0,-6.318,-0.011,3814.827,245.056,0.395,0.005,77.571,57.193,2.215,0.322,8.048e6,0,14.027,0.297,0.297,0.217,0.007,0.073,0.036,0.08,2.047e-4,0,0,0,0,-2.429e-4,0.014,9.2,66.476,81.478,0.01,4.499,13.024,977.599,339.192,0.05,0.033
3.284,309.367,107.529,-13.511,108.092,13.514,25.719,0.002,25.719,0.005,11.015,0.285,28.61,-80.6,9.791,0.681,7.826e-7,-2.623,-0.012,3814.827,245.056,0.395,0.005,77.241,57.193,2.179,0.32,7.993e6,0,13.847,0.297,0.297,0.217,0.007,0.073,0.07,0.154,-1.54e-4,0,0,0,0,-4.242e-5,0.014,9.2,66.476,81.245,0.008,4.213,12.989,976.966,339.17,0.05,0.034
3.325,313.778,106.974,-13.468,107.541,13.47,26.173,0.002,26.173,0.005,11.029,0.26,28.61,-80.6,9.791,0.665,-3.209e-6,1.595,0.009,3814.827,245.056,0.395,0.005,77.254,57.193,2.181,0.319,7.95e6,0,13.696,0.296,0.297,0.217,0.007,0.073,0.069,0.15,4.434e-4,0,0,0,0,1.585e-5,0.014,9.2,66.476,81.225,0.008,4.207,12.96,976.449,339.153,0.041,0.034
3.368,318.383,106.395,-13.374,106.965,13.374,26.649,0.002,26.649,0.005,11.033,0.061,28.61,-80.6,9.791,0.402,0,4.718,0.003,3814.827,245.056,0.395,0.005,77.511,57.193,2.208,0.317,7.906e6,0,13.535,0.296,0.297,0.217,0.007,0.073,0.041,0.091,-2.504e-4,0,0,0,0,1.401e-4,0.014,9.2,66.476,81.369,0.008,4.359,12.931,975.909,339.135,0.043,0.034
3.418,323.686,105.729,-13.259,106.302,13.269,27.2,0.002,27.2,0.005,11.019,0.501,28.61,-80.6,9.791,0.018,-6.131e-5,6.031,0.151,3814.827,245.056,0.395,0.005,77.896,57.193,2.25,0.315,7.855e6,0,13.355,0.296,0.296,0.217,0.007,0.073,0.002,0.004,2.858e-4,0,0,0,0,2.316e-4,0.014,9.2,66.476,81.655,0.01,4.475,12.896,975.287,339.114,0.05,0.034
3.468,328.956,105.069,-13.153,105.641,13.187,27.751,0.003,27.751,0.005,10.983,0.942,28.61,-80.6,9.791,0.376,-2.269e-5,-5.009,2.499e-4,3814.827,245.056,0.395,0.005,77.53,57.193,2.211,0.313,7.805e6,0,13.19,0.296,0.296,0.217,0.007,0.073,0.038,0.085,6.37e-6,0,0,0,0,-1.617e-4,0.014,9.2,66.476,81.944,0.011,4.61,12.862,974.669,339.093,0.05,0.035
3.518,334.193,104.413,-13.072,104.983,13.13,28.298,0.003,28.298,0.005,10.925,1.239,28.61,-80.6,9.791,0.642,-9.353e-6,-1.188,0.001,3814.827,245.056,0.395,0.005,77.265,57.193,2.182,0.311,7.756e6,0,13.033,0.296,0.296,0.217,0.007,0.072,0.066,0.144,-1.128e-4,0,0,0,0,-9.201e-6,0.013,9.2,66.476,82.106,0.013,4.772,12.828,974.055,339.073,0.05,0.035
3.564,339.011,103.809,-13.038,104.377,13.09,28.803,0.003,28.803,0.005,10.868,1.161,28.61,-80.6,9.791,0.588,-4.148e-6,2.518,-0.013,3814.827,245.056,0.395,0.005,77.314,57.193,2.187,0.31,7.707e6,0,12.867,0.296,0.296,0.217,0.007,0.072,0.061,0.132,-2.608e-4,0,0,0,0,4.184e-5,0.013,9.2,66.476,82.073,0.013,4.678,12.796,973.49,339.054,0.046,0.035
3.614,344.185,103.158,-13.026,103.723,13.057,29.345,0.003,29.345,0.006,10.817,0.891,28.61,-80.6,9.791,0.359,-5.625e-5,5.623,-0.006,3814.827,245.056,0.395,0.005,77.537,57.193,2.211,0.308,7.655e6,0,12.686,0.296,0.296,0.217,0.007,0.072,0.037,0.081,-2.026e-4,0,0,0,0,2.113e-4,0.013,9.2,66.476,81.857,0.012,4.6,12.763,972.883,339.033,0.05,0.035
3.664,349.327,102.506,-13.032,103.072,13.043,29.885,0.003,29.885,0.006,10.781,0.521,28.61,-80.6,9.791,0.023,-2.782e-5,6.918,-0.022,3814.827,245.056,0.395,0.005,77.876,57.193,2.248,0.306,7.603e6,0,12.509,0.296,0.296,0.217,0.007,0.072,0.002,0.005,-1.135e-4,0,0,0,0,3.24e-4,0.013,9.2,66.476,81.53,0.01,4.512,12.729,972.28,339.013,0.05,0.035
3.714,354.436,101.854,-13.045,102.422,13.046,30.423,0.003,30.423,0.006,10.765,0.154,28.61,-80.6,9.791,0.322,-1.389e-5,-5.882,6.601e-4,3814.827,245.056,0.395,0.005,77.569,57.193,2.215,0.304,7.552e6,0,12.343,0.296,0.296,0.217,0.007,0.072,0.033,0.073,2.139e-4,0,0,0,0,-2.372e-4,0.013,9.2,66.476,81.198,0.008,4.401,12.696,971.681,338.993,0.05,0.036
3.764,359.512,101.202,-13.04,101.773,13.041,30.961,0.003,30.961,0.006,10.764,0.078,28.61,-80.6,9.791,0.541,-2.163e-5,-3.173,-0.006,3814.827,245.056,0.395,0.005,77.348,57.193,2.191,0.302,7.501e6,0,12.183,0.296,0.296,0.217,0.007,0.072,0.055,0.122,9.026e-5,0,0,0,0,-6.993e-5,0.013,9.2,66.476,80.967,0.004,4.332,12.663,971.085,338.973,0.05,0.036
3.814,364.556,100.551,-13.007,101.126,13.008,31.5,0.003,31.5,0.006,10.771,0.136,28.61,-80.6,9.791,0.598,-7.464e-6,0.472,-0.009,3814.827,245.056,0.395,0.005,77.289,57.193,2.184,0.3,7.449e6,0,12.019,0.295,0.296,0.217,0.007,0.072,0.061,0.134,1.293e-4,0,0,0,0,1.569e-6,0.013,9.2,66.476,80.901,0.002,4.248,12.63,970.494,338.953,0.05,0.036
3.864,369.567,99.902,-12.935,100.481,12.935,32.038,0.003,32.038,0.006,10.775,0.033,28.61,-80.6,9.791,0.438,0,3.669,0.006,3814.827,245.056,0.395,0.005,77.443,57.193,2.201,0.298,7.4e6,0,11.852,0.295,0.295,0.217,0.006,0.072,0.045,0.098,-2.727e-4,0,0,0,0,9.593e-5,0.013,9.2,66.476,81.013,0.002,4.244,12.598,969.906,338.933,0.05,0.036
3.914,374.546,99.258,-12.846,99.84,12.85,32.577,0.004,32.577,0.006,10.766,0.311,28.61,-80.6,9.791,0.162,-4.786e-5,5.461,-0.005,3814.827,245.056,0.395,0.005,77.718,57.193,2.231,0.296,7.35e6,0,11.687,0.295,0.295,0.217,0.006,0.072,0.016,0.036,-1.273e-4,0,0,0,0,2.153e-4,0.013,9.2,66.476,81.253,0.005,4.228,12.565,969.322,338.914,0.05,0.036
3.964,379.493,98.617,-12.76,99.201,12.774,33.115,0.004,33.115,0.006,10.743,0.603,28.61,-80.6,9.791,0.142,2.23e-5,-5.547,-0.025,3814.827,245.056,0.395,0.005,77.735,57.193,2.233,0.294,7.3e6,0,11.528,0.295,0.295,0.217,0.006,0.072,0.014,0.032,-4.132e-4,0,0,0,0,-2.249e-4,0.013,9.2,66.476,81.539,0.009,4.19,12.533,968.742,338.894,0.05,0.037
4.014,384.408,97.982,-12.678,98.565,12.71,33.651,0.004,33.651,0.006,10.705,0.908,28.61,-80.6,9.791,0.458,2.17e-5,-3.886,-0.016,3814.827,245.056,0.395,0.005,77.415,57.193,2.198,0.292,7.251e6,0,11.382,0.295,0.295,0.217,0.006,0.072,0.047,0.103,-4.533e-4,0,0,0,0,-1.118e-4,0.013,9.2,66.476,81.782,0.012,4.26,12.501,968.165,338.875,0.05,0.037
4.064,389.291,97.35,-12.612,97.931,12.661,34.185,0.004,34.185,0.007,10.652,1.111,28.61,-80.6,9.791,0.67,-1.678e-5,-0.301,0.003,3814.827,245.056,0.395,0.005,77.204,57.193,2.175,0.291,7.204e6,0,11.241,0.295,0.295,0.217,0.006,0.072,0.069,0.15,-3.092e-4,0,0,0,0,-6.81e-7,0.013,9.2,66.476,81.89,0.013,4.401,12.47,967.593,338.855,0.05,0.037
4.114,394.143,96.72,-12.587,97.299,12.625,34.716,0.004,34.716,0.007,10.6,0.982,28.61,-80.6,9.791,0.557,5.991e-6,3.055,-0.007,3814.827,245.056,0.395,0.005,77.311,57.193,2.187,0.289,7.153e6,0,11.079,0.295,0.295,0.217,0.006,0.071,0.057,0.125,-1.42e-4,0,0,0,0,7.086e-5,0.012,9.2,66.476,81.816,0.013,4.271,12.438,967.024,338.836,0.05,0.037
4.164,398.963,96.091,-12.567,96.669,12.594,35.245,0.004,35.245,0.007,10.554,0.829,28.61,-80.6,9.791,0.406,1.298e-5,5.773,0.005,3814.827,245.056,0.395,0.005,77.458,57.193,2.203,0.287,7.106e6,0,10.927,0.295,0.295,0.217,0.006,0.071,0.041,0.091,-2.394e-4,0,0,0,0,2.563e-4,0.012,9.2,66.476,81.586,0.013,4.354,12.407,966.458,338.817,0.05,0.038
4.214,403.752,95.463,-12.56,96.04,12.575,35.772,0.004,35.772,0.007,10.517,0.6,28.61,-80.6,9.791,0.165,2.451e-5,7.57,0.006,3814.827,245.056,0.395,0.005,77.697,57.193,2.229,0.285,7.058e6,0,10.777,0.295,0.295,0.217,0.006,0.071,0.017,0.037,-1.57e-4,0,0,0,0,4.463e-4,0.012,9.2,66.476,81.244,0.01,4.465,12.376,965.897,338.799,0.05,0.038
4.264,408.51,94.834,-12.569,95.414,12.572,36.297,0.004,36.297,0.007,10.497,0.295,28.61,-80.6,9.791,0.168,-8.379e-6,-7.267,0.014,3814.827,245.056,0.395,0.005,77.691,57.193,2.228,0.283,7.01e6,0,10.63,0.295,0.295,0.217,0.006,0.071,0.017,0.038,-1.738e-4,0,0,0,0,-4.167e-4,0.012,9.2,66.476,80.862,0.007,4.455,12.345,965.339,338.78,0.05,0.038
4.314,413.236,94.206,-12.558,94.788,12.559,36.822,0.005,36.822,0.007,10.485,0.152,28.61,-80.6,9.791,0.335,-2.63e-5,-6.141,0.013,3814.827,245.056,0.395,0.005,77.521,57.193,2.21,0.282,6.964e6,0,10.495,0.294,0.295,0.217,0.006,0.071,0.034,0.075,-1.199e-5,0,0,0,0,-3.012e-4,0.012,9.2,66.476,80.523,0.005,4.671,12.314,964.784,338.761,0.05,0.038
4.364,417.93,93.578,-12.563,94.164,12.563,37.346,0.005,37.346,0.007,10.483,0.087,28.61,-80.6,9.791,0.597,-2.338e-5,-3.678,0.013,3814.827,245.056,0.395,0.005,77.258,57.193,2.181,0.28,6.915e6,0,10.354,0.294,0.295,0.217,0.006,0.071,0.061,0.134,4.819e-4,0,0,0,0,-1.095e-4,0.012,9.2,66.476,80.275,0.005,4.541,12.283,964.234,338.743,0.05,0.038
4.414,422.594,92.95,-12.553,93.54,12.555,37.87,0.005,37.87,0.007,10.494,0.248,28.61,-80.6,9.791,0.773,-5.323e-6,0.133,-9.741e-4,3814.827,245.056,0.395,0.005,77.084,57.193,2.162,0.278,6.864e6,0,10.21,0.294,0.295,0.217,0.006,0.071,0.08,0.173,2.434e-4,0,0,0,0,1.446e-7,0.012,9.2,66.476,80.185,0.006,4.284,12.253,963.687,338.724,0.05,0.039
4.464,427.188,92.329,-12.498,92.924,12.499,38.391,0.005,38.391,0.007,10.504,0.163,28.61,-80.6,9.791,0.682,-7.257e-6,3.802,0.011,3814.827,245.056,0.395,0.005,77.17,57.193,2.171,0.276,6.816e6,0,10.062,0.294,0.295,0.217,0.006,0.071,0.07,0.152,2.853e-4,0,0,0,0,1.203e-4,0.012,9.2,66.476,80.288,0.009,4.169,12.223,963.148,338.706,0.05,0.039
4.514,431.788,91.706,-12.424,92.306,12.424,38.916,0.005,38.916,0.007,10.509,0.019,28.61,-80.6,9.791,0.47,-5.806e-6,6.856,0.031,3814.827,245.056,0.395,0.005,77.374,57.193,2.194,0.274,6.766e6,0,9.908,0.294,0.294,0.217,0.006,0.071,0.048,0.105,4.332e-4,0,0,0,0,3.965e-4,0.012,9.2,66.476,80.563,0.013,3.963,12.193,962.608,338.688,0.05,0.039
4.564,436.358,91.087,-12.314,91.69,12.322,39.441,0.005,39.441,0.008,10.499,0.46,28.61,-80.6,9.791,0.053,5.465e-5,-8.286,0.107,3814.827,245.056,0.395,0.005,77.793,57.193,2.239,0.272,6.72e6,0,9.768,0.294,0.294,0.217,0.006,0.071,0.005,0.012,-1.99e-4,0,0,0,0,-5.867e-4,0.012,9.2,66.476,80.953,0.017,4.101,12.164,962.072,338.67,0.05,0.039
4.614,440.897,90.475,-12.196,91.077,12.241,39.965,0.005,39.965,0.008,10.457,1.055,28.61,-80.6,9.791,0.75,-4.241e-5,-5.615,0.018,3814.827,245.056,0.395,0.005,77.096,57.193,2.163,0.271,6.679e6,0,9.666,0.294,0.294,0.217,0.006,0.071,0.078,0.168,-4.418e-4,0,0,0,0,-2.725e-4,0.012,9.2,66.476,81.317,0.019,4.608,12.134,961.54,338.652,0.05,0.039
4.664,445.406,89.866,-12.156,90.466,12.204,40.487,0.006,40.487,0.008,10.402,1.088,28.61,-80.6,9.791,0.814,-2.567e-5,-1.912,0.011,3814.827,245.056,0.395,0.005,77.031,57.193,2.156,0.269,6.629e6,0,9.524,0.294,0.294,0.217,0.006,0.071,0.084,0.182,-2.11e-4,0,0,0,0,-3.206e-5,0.012,9.2,66.476,81.509,0.019,4.329,12.105,961.011,338.634,0.05,0.04
4.714,449.884,89.259,-12.127,89.857,12.171,41.006,0.006,41.006,0.008,10.35,1.032,28.61,-80.6,9.791,0.769,-1.229e-5,1.651,0.017,3814.827,245.056,0.395,0.005,77.072,57.193,2.161,0.267,6.581e6,0,9.384,0.294,0.294,0.217,0.006,0.071,0.08,0.172,4.944e-4,0,0,0,0,2.422e-5,0.012,9.2,66.476,81.508,0.016,4.202,12.076,960.486,338.617,0.05,0.04
4.764,454.332,88.654,-12.094,89.25,12.137,41.522,0.006,41.522,0.008,10.297,1.02,28.61,-80.6,9.791,0.761,-1.999e-5,5.647,0.014,3814.827,245.056,0.395,0.005,77.077,57.193,2.161,0.265,6.538e6,0,9.26,0.294,0.294,0.217,0.006,0.071,0.079,0.17,3.795e-5,0,0,0,0,2.871e-4,0.011,9.2,66.476,81.321,0.012,4.451,12.047,959.965,338.599,0.05,0.04
4.814,458.749,88.049,-12.104,88.644,12.123,42.036,0.006,42.036,0.008,10.254,0.686,28.61,-80.6,9.791,0.367,2.13e-5,8.294,0.034,3814.827,245.056,0.395,0.005,77.461,57.193,2.203,0.264,6.49e6,0,9.113,0.294,0.294,0.217,0.006,0.07,0.037,0.082,-4.142e-4,0,0,0,0,6.28e-4,0.011,9.2,66.476,80.963,0.008,4.321,12.018,959.446,338.582,0.05,0.04
4.864,463.137,87.443,-12.128,88.039,12.132,42.548,0.006,42.548,0.008,10.23,0.309,28.61,-80.6,9.791,0.112,1.333e-6,-8.727,0.082,3814.827,245.056,0.395,0.005,77.717,57.193,2.231,0.262,6.442e6,0,8.976,0.293,0.293,0.217,0.006,0.07,0.011,0.026,3.423e-4,0,0,0,0,-7.053e-4,0.011,9.2,66.476,80.525,0.004,4.173,11.99,958.932,338.565,0.05,0.04
4.914,467.494,86.836,-12.133,87.436,12.134,43.059,0.006,43.059,0.008,10.221,0.099,28.61,-80.6,9.791,0.392,3.509e-5,-7.518,0.015,3814.827,245.056,0.395,0.005,77.432,57.193,2.2,0.26,6.398e6,0,8.856,0.293,0.294,0.217,0.006,0.07,0.04,0.089,-3.687e-4,0,0,0,0,-5.303e-4,0.011,9.2,66.476,80.111,0.002,4.296,11.961,958.421,338.547,0.05,0.04
4.964,471.82,86.23,-12.123,86.833,12.123,43.57,0.006,43.57,0.008,10.218,0.008,28.61,-80.6,9.791,0.541,-4.729e-5,-5.531,0.029,3814.827,245.056,0.395,0.005,77.282,57.193,2.184,0.258,6.354e6,0,8.74,0.293,0.294,0.217,0.006,0.07,0.055,0.122,1.244e-4,0,0,0,0,-2.907e-4,0.011,9.2,66.476,79.783,0.002,4.48,11.933,957.913,338.53,0.05,0.04
5.014,476.117,85.624,-12.11,86.232,12.11,44.081,0.007,44.081,0.009,10.222,0.1,28.61,-80.6,9.791,0.667,-1.683e-5,-2.723,0.011,3814.827,245.056,0.395,0.005,77.157,57.193,2.17,0.257,6.309e6,0,8.62,0.293,0.294,0.217,0.006,0.07,0.069,0.149,-2.334e-4,0,0,0,0,-7.144e-5,0.011,9.2,66.476,79.577,0.003,4.494,11.905,957.41,338.513,0.05,0.041
5.064,480.383,85.019,-12.078,85.632,12.079,44.592,0.007,44.592,0.009,10.227,0.105,28.61,-80.6,9.791,0.678,-1.587e-5,0.049,0.014,3814.827,245.056,0.395,0.005,77.143,57.193,2.168,0.255,6.263e6,0,8.496,0.293,0.294,0.217,0.006,0.07,0.07,0.151,2.008e-4,0,0,0,0,2.32e-8,0.011,9.2,66.476,79.513,0.006,4.471,11.878,956.909,338.497,0.05,0.041
5.114,484.618,84.416,-12.043,85.034,12.043,45.104,0.007,45.104,0.009,10.233,0.104,28.61,-80.6,9.791,0.675,-1.626e-5,3.209,0.005,3814.827,245.056,0.395,0.005,77.144,57.193,2.169,0.253,6.215e6,0,8.365,0.293,0.293,0.218,0.005,0.07,0.069,0.151,-2.594e-4,0,0,0,0,1.021e-4,0.011,9.2,66.476,79.598,0.008,4.233,11.85,956.412,338.48,0.05,0.041
5.164,488.824,83.816,-11.966,84.438,11.967,45.615,0.007,45.615,0.009,10.233,0.121,28.61,-80.6,9.791,0.369,-3.545e-5,5.399,0.013,3814.827,245.056,0.395,0.005,77.443,57.193,2.201,0.251,6.17e6,0,8.238,0.293,0.293,0.218,0.005,0.07,0.037,0.082,1.937e-4,0,0,0,0,2.93e-4,0.011,9.2,66.476,79.82,0.012,4.267,11.823,955.919,338.463,0.05,0.041
5.214,493,83.219,-11.88,83.845,11.888,46.127,0.007,46.127,0.009,10.22,0.423,28.61,-80.6,9.791,0.066,-2.219e-5,-6.102,0.045,3814.827,245.056,0.395,0.005,77.747,57.193,2.234,0.25,6.127e6,0,8.119,0.293,0.293,0.218,0.005,0.07,0.007,0.015,8.585e-5,0,0,0,0,-3.793e-4,0.011,9.2,66.476,80.117,0.016,4.387,11.795,955.429,338.447,0.05,0.041
5.264,497.146,82.628,-11.805,83.254,11.826,46.637,0.007,46.637,0.009,10.19,0.697,28.61,-80.6,9.791,0.467,-3.712e-5,-4.768,0.009,3814.827,245.056,0.395,0.005,77.341,57.193,2.19,0.248,6.084e6,0,8.01,0.293,0.293,0.218,0.005,0.07,0.048,0.105,8.61e-5,0,0,0,0,-2.348e-4,0.011,9.2,66.476,80.397,0.019,4.497,11.769,954.943,338.431,0.05,0.041
5.314,501.263,82.038,-11.759,82.664,11.786,47.146,0.007,47.146,0.009,10.153,0.796,28.61,-80.6,9.791,0.625,-3.466e-5,-2.782,0.01,3814.827,245.056,0.395,0.005,77.183,57.193,2.173,0.246,6.038e6,0,7.893,0.293,0.293,0.218,0.005,0.07,0.064,0.14,-3.156e-4,0,0,0,0,-8.109e-5,0.011,9.2,66.476,80.588,0.02,4.37,11.742,954.467,338.414,0.05,0.041
5.364,505.35,81.452,-11.712,82.077,11.747,47.652,0.008,47.652,0.009,10.109,0.916,28.61,-80.6,9.791,0.808,-2.652e-5,0.324,-0.001,3814.827,245.056,0.395,0.005,77.003,57.193,2.153,0.245,5.995e6,0,7.788,0.293,0.293,0.218,0.005,0.07,0.084,0.18,4.222e-4,0,0,0,0,1.118e-6,0.011,9.2,66.476,80.65,0.02,4.494,11.715,954.011,338.398,0.05,0.041
5.414,509.408,80.867,-11.695,81.491,11.723,48.156,0.008,48.156,0.009,10.065,0.818,28.61,-80.6,9.791,0.687,-1.099e-5,3.219,0.008,3814.827,245.056,0.395,0.005,77.118,57.193,2.166,0.243,5.949e6,0,7.666,0.293,0.293,0.218,0.005,0.07,0.071,0.153,2.271e-4,0,0,0,0,1.117e-4,0.01,9.2,66.476,80.558,0.018,4.381,11.689,953.557,338.382,0.05,0.042
5.464,513.437,80.282,-11.689,80.906,11.707,48.659,0.008,48.659,0.009,10.028,0.647,28.61,-80.6,9.791,0.45,6.911e-6,5.48,0.013,3814.827,245.056,0.395,0.005,77.349,57.193,2.191,0.241,5.904e6,0,7.544,0.293,0.293,0.218,0.005,0.07,0.046,0.1,-3.482e-4,0,0,0,0,3.284e-4,0.01,9.2,66.476,80.334,0.015,4.292,11.663,953.107,338.366,0.05,0.042
5.514,517.436,79.698,-11.693,80.323,11.701,49.159,0.008,49.159,0.009,10.002,0.436,28.61,-80.599,9.791,0.135,-2.273e-5,6.551,0.015,3814.827,245.056,0.395,0.005,77.662,57.193,2.225,0.239,5.859e6,0,7.425,0.292,0.293,0.218,0.005,0.07,0.014,0.03,6.857e-5,0,0,0,0,4.763e-4,0.01,9.2,66.476,80.026,0.012,4.202,11.637,952.66,338.351,0.05,0.042
5.564,521.407,79.113,-11.686,79.74,11.691,49.659,0.008,49.659,0.01,9.984,0.314,28.61,-80.599,9.791,0.06,-2.915e-5,-6.549,0.074,3814.827,245.056,0.395,0.005,77.737,57.193,2.233,0.238,5.817e6,0,7.318,0.292,0.292,0.218,0.005,0.07,0.006,0.014,1.198e-4,0,0,0,0,-4.825e-4,0.01,9.2,66.476,79.692,0.01,4.311,11.611,952.217,338.335,0.05,0.042
